0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Vario%20125.png HTTP/1.1" 200 65185
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Vario%20160.png HTTP/1.1" 200 45069
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/CB500X%202022.png HTTP/1.1" 200 176675
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/CB150R%20The%20Streetster.png HTTP/1.1" 200 224746
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/CBR150R.png HTTP/1.1" 200 1142106
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/SH350i.png HTTP/1.1" 200 58708
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Winner%20X.png HTTP/1.1" 200 649141
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/SH160i.png HTTP/1.1" 200 1862968
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/LEAD%20125cc.png HTTP/1.1" 200 1568175
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/SH%20Mode%20125cc.png HTTP/1.1" 200 282796
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Africa%20Twin%202023%20Phi%C3%AAn%20B%E1%BA%A3n%20Ti%C3%AAu%20Chu%E1%BA%A9n.png HTTP/1.1" 200 190665
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Rebel%201100%202023Rebel%201100%202023.png HTTP/1.1" 200 161601
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/CB500F%202022.png HTTP/1.1" 200 180905
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/CBR1000RR-R%20Fireblade.png HTTP/1.1" 200 222093
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/Africa%20Twin%202023%20Adventure%20Sports.png HTTP/1.1" 200 213930
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:42 +0700] "GET /BanHang/image?fname=product/CBR1000RR-R%20Fireblade%20SP.png HTTP/1.1" 200 212654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/Transalp.jpg HTTP/1.1" 200 245799
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/Gold%20Wing%202023.jpg HTTP/1.1" 200 27468
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/SH125i.png HTTP/1.1" 200 2005520
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/Rebel%20500%202023.jpg HTTP/1.1" 200 25110
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/CB1000R%202023.jpg HTTP/1.1" 200 28184
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/CBR650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30938
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/CB650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30160
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:42:43 +0700] "GET /BanHang/image?fname=product/CBR500R%202022.jpg HTTP/1.1" 200 35048
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/user/listprocate?cateID=1 HTTP/1.1" 200 141234
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Vario%20125.png HTTP/1.1" 200 65185
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Vario%20160.png HTTP/1.1" 200 45069
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/SH%20Mode%20125cc.png HTTP/1.1" 200 282796
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/LEAD%20125cc.png HTTP/1.1" 200 1568175
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/SH350i.png HTTP/1.1" 200 58708
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/SH125i.png HTTP/1.1" 200 2005520
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CBR150R.png HTTP/1.1" 200 1142106
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/SH160i.png HTTP/1.1" 200 1862968
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Winner%20X.png HTTP/1.1" 200 649141
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CB150R%20The%20Streetster.png HTTP/1.1" 200 224746
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CB500X%202022.png HTTP/1.1" 200 176675
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Rebel%201100%202023Rebel%201100%202023.png HTTP/1.1" 200 161601
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Africa%20Twin%202023%20Phi%C3%AAn%20B%E1%BA%A3n%20Ti%C3%AAu%20Chu%E1%BA%A9n.png HTTP/1.1" 200 190665
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CB500F%202022.png HTTP/1.1" 200 180905
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Africa%20Twin%202023%20Adventure%20Sports.png HTTP/1.1" 200 213930
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Gold%20Wing%202023.jpg HTTP/1.1" 200 27468
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Transalp.jpg HTTP/1.1" 200 245799
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CBR1000RR-R%20Fireblade%20SP.png HTTP/1.1" 200 212654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CBR1000RR-R%20Fireblade.png HTTP/1.1" 200 222093
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/Rebel%20500%202023.jpg HTTP/1.1" 200 25110
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CB1000R%202023.jpg HTTP/1.1" 200 28184
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CB650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30160
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CBR650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30938
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:46:37 +0700] "GET /BanHang/image?fname=product/CBR500R%202022.jpg HTTP/1.1" 200 35048
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/user/listprocate?cateID=1 HTTP/1.1" 200 140939
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Vario%20125.png HTTP/1.1" 200 65185
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Vario%20160.png HTTP/1.1" 200 45069
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/SH%20Mode%20125cc.png HTTP/1.1" 200 282796
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/LEAD%20125cc.png HTTP/1.1" 200 1568175
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/SH125i.png HTTP/1.1" 200 2005520
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/SH160i.png HTTP/1.1" 200 1862968
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/SH350i.png HTTP/1.1" 200 58708
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CBR150R.png HTTP/1.1" 200 1142106
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Winner%20X.png HTTP/1.1" 200 649141
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CB150R%20The%20Streetster.png HTTP/1.1" 200 224746
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CB500X%202022.png HTTP/1.1" 200 176675
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Africa%20Twin%202023%20Phi%C3%AAn%20B%E1%BA%A3n%20Ti%C3%AAu%20Chu%E1%BA%A9n.png HTTP/1.1" 200 190665
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Rebel%201100%202023Rebel%201100%202023.png HTTP/1.1" 200 161601
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CB500F%202022.png HTTP/1.1" 200 180905
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Africa%20Twin%202023%20Adventure%20Sports.png HTTP/1.1" 200 213930
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CBR1000RR-R%20Fireblade%20SP.png HTTP/1.1" 200 212654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Transalp.jpg HTTP/1.1" 200 245799
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CBR1000RR-R%20Fireblade.png HTTP/1.1" 200 222093
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Gold%20Wing%202023.jpg HTTP/1.1" 200 27468
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/Rebel%20500%202023.jpg HTTP/1.1" 200 25110
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CB1000R%202023.jpg HTTP/1.1" 200 28184
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CBR650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30938
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CB650R%20phi%C3%AAn%20b%E1%BA%A3n%202023.jpg HTTP/1.1" 200 30160
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:45 +0700] "GET /BanHang/image?fname=product/CBR500R%202022.jpg HTTP/1.1" 200 35048
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:51 +0700] "GET /BanHang/admin/category/findAll HTTP/1.1" 200 8375
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:49:56 +0700] "GET /BanHang/admin/product/listproduct HTTP/1.1" 200 46018
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44116
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:50:06 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:52:13 +0700] "GET /BanHang/user/index.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:48 +0700] "GET /BanHang/user/index.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:51 +0700] "GET /BanHang/user/index.html HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44124
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:55 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44124
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:56 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44124
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:58 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44124
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44124
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Vision.jpg HTTP/1.1" 200 42017
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Vision1.png HTTP/1.1" 200 574554
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20125.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/image?fname=product/Air%20Blade%20160.png HTTP/1.1" 200 57596
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:53:59 +0700] "GET /BanHang/user/home HTTP/1.1" 200 44124
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:54:00 +0700] "GET /BanHang/image?fname=product/Wave%20Alpha.png HTTP/1.1" 200 195434
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:54:00 +0700] "GET /BanHang/image?fname=product/Future.jpg HTTP/1.1" 200 261127
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:54:00 +0700] "GET /BanHang/image?fname=product/Wave%20Apha.png HTTP/1.1" 200 260153
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:54:00 +0700] "GET /BanHang/image?fname=product/Wave%20RSX%20FI.png HTTP/1.1" 200 37859
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:54:00 +0700] "GET /BanHang/image?fname=product/Blade.png HTTP/1.1" 200 1031654
0:0:0:0:0:0:0:1 - - [11/Dec/2023:23:54:00 +0700] "GET /BanHang/image?fname=product/Super%20Cub%20C125.png HTTP/1.1" 200 42830
